"udid","time","count","avg_duration"
"104009608","1475218800","1","191"
"104012689","1475222400","1","608"
"104022094","1475222400","3","274"
"104009608","1475226000","2","244"
"103993911","1475226000","1","33"
"104023083","1475226000","1","1494"
"104023086","1475233200","1","584"
"103976940","1475233200","1","87"
"104021460","1475233200","1","4"
"104022979","1475233200","8","35624"
"104023002","1475236800","3","45"
"103964294","1475236800","1","960"
"104022917","1475236800","1","50"
"104023086","1475236800","1","5"
"104023093","1475240400","2","49"
"103978129","1475240400","1","5"
"104022917","1475240400","2","950"
"104023092","1475240400","2","34303"
"104008739","1475244000","1","37"
"104022387","1475247600","2","1942"
"104023012","1475247600","2","1407"
"104023095","1475251200","1","10581"
"104011578","1475251200","2","314"
"104022524","1475251200","2","145"
"104023012","1475251200","1","73"
"104023098","1475251200","1","79721"
"104009397","1475254800","3","593"
"103972991","1475254800","1","300"
"104022755","1475254800","1","591"
"103972991","1475258400","1","18"
"103985164","1475258400","1","72"
"103999221","1475258400","1","887"
"104019557","1475258400","1","411"
"104022755","1475258400","1","137"
"104023103","1475258400","1","452"
"104017743","1475262000","1","241"
"104022524","1475262000","1","10"
"104023113","1475262000","2","30910"
"104021290","1475265600","2","780"
"104022396","1475265600","2","3139"
"104017743","1475265600","23","353"
"104018945","1475265600","1","11376"
"104022524","1475265600","1","586"
"104023117","1475265600","1","3270"
"104023120","1475265600","1","7"
"104023121","1475265600","1","42778"
"104022298","1475269200","1","154"
"104022396","1475269200","2","2370"
"103961802","1475269200","7","309"
"104017743","1475269200","9","98"
"103999577","1475272800","1","18"
"104023129","1475272800","1","75684"
"103966236","1475272800","4","1414"
"104022396","1475272800","4","4000"
"103993454","1475276400","1","31"
"103973875","1475276400","2","1208"
"104014099","1475276400","1","4"
"104015604","1475276400","1","10"
"104022352","1475276400","1","332"
"104022396","1475276400","2","3253"
"104023131","1475276400","1","354"
"104023133","1475276400","2","51"
"103982899","1475280000","1","302"
"103965984","1475280000","3","26"
"103969731","1475280000","2","251"
"103992143","1475280000","1","3"
"104022396","1475280000","2","2400"
"104021542","1475280000","2","242"
"104010549","1475280000","1","2"
"104010549","1475283600","1","798"
"104020142","1475283600","1","8"
"103976374","1475283600","1","12"
"103976374","1475283600","2","227"
"104020943","1475283600","1","430"
"104023136","1475287200","1","78696"
"104010549","1475287200","1","1895"
"103976253","1475287200","4","1128"
"103988926","1475287200","2","396"
"103994978","1475287200","1","21"
"104001070","1475287200","3","87"
"104022373","1475290800","1","605"
"104011226","1475290800","11","7790"
"104023135","1475290800","2","594"
"104022979","1475294400","1","119"
"104022305","1475294400","1","128"
"104017224","1475294400","1","731"
"104004483","1475294400","2","2683"
"104000537","1475298000","1","6"
"104023144","1475298000","1","6"
"104022896","1475301600","1","616"
"104023144","1475301600","1","137"
"104001670","1475301600","1","1"
"104023148","1475305200","1","605"
"104019023","1475305200","1","823"
"104021760","1475305200","1","3231"
"104022896","1475305200","1","5"
"104023135","1475305200","1","242"
